46.77 -180.0,-172.83803,-165.67606,-158.51408,-151.35211,-144.19014,-137.02817,-129.86619,-122.70422,-115.54225,-108.38028,-101.2183,-94.05633,-86.89436,-79.73239,-72.57041,-65.40844,-58.24647,-51.0845,-43.92252,-36.76055,-29.59858,-22.43661,-15.27463,-8.11266,-0.95069,6.21128,13.37326,20.53523,27.6972,34.85917,42.02115,49.18312,56.34509,63.50706,70.66904,77.83101,84.99298,92.15495,99.31693,106.4789,113.64087,120.80284,127.96481,135.12679,142.28876,149.45073,156.6127,163.77468,170.93665,178.09862 8.74304,9.08824,9.5875,10.10203,10.81887,12.05765,12.72875,12.5736,11.35455,9.41353,7.72727,6.13722,3.99001,2.02321,1.08155,1.0701,1.22047,1.17807,1.62736,1.87988,1.61417,1.97176,3.57913,5.71856,7.79061,9.42711,10.22672,10.10004,8.5656,6.96666,6.41432,6.35257,5.6736,5.1465,4.94685,4.67174,4.18598,3.59685,3.43438,4.1468,4.42342,4.64448,5.11797,5.40161,5.55782,5.99857,6.64074,7.6449,8.47298,8.71001,8.67122
51.447 -180.0,-173.48912,-166.97823,-160.46735,-153.95646,-147.44558,-140.9347,-134.42381,-127.91293,-121.40204,-114.89116,-108.38028,-101.86939,-95.35851,-88.84762,-82.33674,-75.82586,-69.31497,-62.80409,-56.2932,-49.78232,-43.27144,-36.76055,-30.24967,-23.73878,-17.2279,-10.71702,-4.20613,2.30475,8.81564,15.32652,21.83741,28.34829,34.85917,41.37006,47.88094,54.39183,60.90271,67.41359,73.92448,80.43536,86.94625,93.45713,99.96801,106.4789,112.98978,119.50067,126.01155,132.52243,139.03332,145.5442,152.05509,158.56597,165.07685,171.58774,178.09862 7.62917,7.75931,8.03964,8.35993,9.13091,10.57195,12.24857,13.299,13.47924,12.06465,9.99871,8.50649,7.45734,5.70192,3.46456,1.93799,1.11061,0.16212,-0.9063,-1.69941,-1.5923,-1.63843,-2.42861,-2.45818,-1.01739,0.9565,2.865,4.69355,6.46758,7.65705,7.79062,6.31001,4.75662,4.18737,4.29184,4.40024,4.40304,4.5624,4.46522,4.1512,4.04728,3.91277,4.18681,4.84839,4.73418,4.52067,4.46305,4.08497,3.4764,3.14916,3.36854,4.17972,5.19186,6.22218,7.04929,7.46656
56.124 -180.0,-174.03169,-168.06338,-162.09507,-156.12676,-150.15845,-144.19014,-138.22183,-132.25352,-126.28521,-120.3169,-114.34859,-108.38028,-102.41197,-96.44365,-90.47534,-84.50703,-78.53872,-72.57041,-66.6021,-60.63379,-54.66548,-48.69717,-42.72886,-36.76055,-30.79224,-24.82393,-18.85562,-12.88731,-6.919,-0.95069,5.01762,10.98593,16.95424,22.92255,28.89086,34.85917,40.82748,46.79579,52.7641,58.73241,64.70073,70.66904,76.63735,82.60566,88.57397,94.54228,100.51059,106.4789,112.44721,118.41552,124.38383,130.35214,136.32045,142.28876,148.25707,154.22538,160.19369,166.162,172.13031,178.09862 4.22909,4.30624,4.48292,5.04895,6.00615,7.38385,9.08251,10.76449,11.67689,11.85906,10.62502,9.03526,8.32016,8.30178,7.50194,5.40914,3.33323,2.24733,1.04538,-0.49548,-2.42111,-3.68012,-4.081,-4.82144,-6.06115,-6.68424,-5.53204,-3.65241,-2.03001,-0.32569,1.92643,4.41051,5.92441,5.85733,4.202,2.47335,1.63194,1.64315,2.03213,2.59265,3.2419,3.49327,3.18573,2.92216,3.10155,3.44932,4.29218,5.17805,4.69175,3.99544,3.72345,3.06812,1.88487,0.78498,0.11226,0.21165,0.743,1.49514,2.50509,3.6189,4.19858
60.801 -180.0,-174.49079,-168.98158,-163.47237,-157.96316,-152.45395,-146.94474,-141.43553,-135.92632,-130.41711,-124.9079,-119.39869,-113.88949,-108.38028,-102.87107,-97.36186,-91.85265,-86.34344,-80.83423,-75.32502,-69.81581,-64.3066,-58.79739,-53.28818,-47.77897,-42.26976,-36.76055,-31.25134,-25.74213,-20.23292,-14.72371,-9.2145,-3.70529,1.80392,7.31313,12.82233,18.33154,23.84075,29.34996,34.85917,40.36838,45.87759,51.3868,56.89601,62.40522,67.91443,73.42364,78.93285,84.44206,89.95127,95.46048,100.96969,106.4789,111.98811,117.49732,123.00653,128.51574,134.02495,139.53415,145.04336,150.55257,156.06178,161.57099,167.0802,172.58941,178.09862 0.68417,0.7553,0.91763,1.87262,3.03733,4.21357,5.51078,6.94643,8.05519,8.40638,8.43066,7.95077,7.37759,7.66841,8.61416,8.88436,7.60941,5.49881,4.24835,3.40352,2.14613,0.25626,-1.97897,-3.75451,-4.79006,-6.06248,-7.46854,-8.66829,-8.53799,-7.24378,-6.03393,-4.85051,-2.81762,0.18228,2.82367,3.87876,3.41395,1.78307,0.20478,-0.68569,-0.82388,-0.54765,0.19167,1.29543,2.19825,2.20234,1.45586,1.01862,1.40063,2.3298,3.62467,4.7206,4.4539,3.41723,3.03228,2.48792,1.35881,-0.11168,-1.37734,-2.28489,-2.12876,-1.89581,-1.72535,-1.06009,0.02221,0.67392
65.478 -180.0,-174.88431,-169.76861,-164.65292,-159.53722,-154.42153,-149.30583,-144.19014,-139.07444,-133.95875,-128.84305,-123.72736,-118.61166,-113.49597,-108.38028,-103.26458,-98.14889,-93.03319,-87.9175,-82.8018,-77.68611,-72.57041,-67.45472,-62.33902,-57.22333,-52.10764,-46.99194,-41.87625,-36.76055,-31.64486,-26.52916,-21.41347,-16.29777,-11.18208,-6.06638,-0.95069,4.16501,9.2807,14.39639,19.51209,24.62778,29.74348,34.85917,39.97487,45.09056,50.20626,55.32195,60.43765,65.55334,70.66904,75.78473,80.90042,86.01612,91.13181,96.24751,101.3632,106.4789,111.59459,116.71029,121.82598,126.94168,132.05737,137.17307,142.28876,147.40445,152.52015,157.63584,162.75154,167.86723,172.98293,178.09862 -1.26108,-1.25953,-1.22347,-0.28513,0.98695,2.1127,2.97243,4.01713,4.86537,4.95562,5.03211,5.52731,6.03996,6.26515,7.087,8.42452,9.28477,8.83709,7.40758,6.44875,6.11593,5.46348,4.2214,2.35855,0.16424,-1.79674,-3.4772,-5.04989,-6.24699,-7.72552,-8.88397,-8.95841,-8.48226,-7.99839,-7.13947,-5.08465,-2.19494,-0.11662,0.69369,0.25523,-0.87408,-1.89959,-2.55519,-2.87743,-2.99297,-2.37422,-0.8103,0.79549,1.34555,0.49284,-0.82773,-1.18873,-0.37954,0.76642,2.07609,3.35084,3.74553,2.92661,2.45487,2.01588,1.0858,-0.17839,-1.2817,-2.1559,-2.61928,-2.8039,-2.88424,-2.98721,-2.61625,-1.84805,-1.24767
70.155 -180.0,-175.22535,-170.4507,-165.67606,-160.90141,-156.12676,-151.35211,-146.57746,-141.80281,-137.02817,-132.25352,-127.47887,-122.70422,-117.92957,-113.15492,-108.38028,-103.60563,-98.83098,-94.05633,-89.28168,-84.50703,-79.73239,-74.95774,-70.18309,-65.40844,-60.63379,-55.85914,-51.0845,-46.30985,-41.5352,-36.76055,-31.9859,-27.21125,-22.43661,-17.66196,-12.88731,-8.11266,-3.33801,1.43664,6.21128,10.98593,15.76058,20.53523,25.30988,30.08452,34.85917,39.63382,44.40847,49.18312,53.95777,58.73241,63.50706,68.28171,73.05636,77.83101,82.60566,87.3803,92.15495,96.9296,101.70425,106.4789,111.25355,116.02819,120.80284,125.57749,130.35214,135.12679,139.90144,144.67608,149.45073,154.22538,159.00003,163.77468,168.54933,173.32397,178.09862 -1.04611,-1.66132,-2.066,-1.48931,-0.28366,1.03309,2.00482,2.55294,3.03342,3.0267,2.64196,3.07586,4.29334,5.15862,5.63864,6.54155,7.78876,8.77388,9.00923,8.53316,8.11021,8.17415,8.14781,7.59782,6.55909,4.99685,3.11794,1.17477,-0.89285,-2.6897,-3.57974,-4.56432,-6.5099,-8.13384,-8.75735,-8.95946,-9.1856,-8.96011,-7.75356,-5.73076,-3.80705,-2.86563,-2.90804,-3.44279,-3.88127,-4.17639,-4.6055,-5.10961,-4.54866,-2.59761,-0.617,0.29299,-0.11827,-1.59399,-2.97093,-2.99356,-1.89811,-1.13397,-0.26855,1.14256,2.12795,2.22215,1.97686,1.61972,0.846,-0.35638,-1.33626,-1.59775,-1.3579,-1.50528,-2.07283,-2.55943,-2.59464,-2.15826,-1.50262,-0.99678
74.832 -180.0,-175.52377,-171.04753,-166.5713,-162.09507,-157.61884,-153.1426,-148.66637,-144.19014,-139.71391,-135.23767,-130.76144,-126.28521,-121.80897,-117.33274,-112.85651,-108.38028,-103.90404,-99.42781,-94.95158,-90.47534,-85.99911,-81.52288,-77.04665,-72.57041,-68.09418,-63.61795,-59.14172,-54.66548,-50.18925,-45.71302,-41.23678,-36.76055,-32.28432,-27.80809,-23.33185,-18.85562,-14.37939,-9.90315,-5.42692,-0.95069,3.52554,8.00178,12.47801,16.95424,21.43047,25.90671,30.38294,34.85917,39.33541,43.81164,48.28787,52.7641,57.24034,61.71657,66.1928,70.66904,75.14527,79.6215,84.09773,88.57397,93.0502,97.52643,102.00266,106.4789,110.95513,115.43136,119.9076,124.38383,128.86006,133.33629,137.81253,142.28876,146.76499,151.24123,155.71746,160.19369,164.66992,169.14616,173.62239,178.09862 0.22705,-0.9851,-2.0696,-2.04163,-0.96805,0.67509,2.0725,2.37685,2.1261,1.80133,1.3854,1.31629,2.16063,3.41391,4.28629,4.92166,5.88228,7.19696,8.40008,9.02138,9.08125,9.037,9.10911,9.41772,9.29659,9.04809,8.45547,7.14046,5.67105,4.10639,1.93416,0.0447,-0.63829,-0.94044,-2.7089,-5.05507,-6.70408,-7.5726,-8.39061,-9.24174,-9.70465,-9.31681,-7.67988,-6.15944,-5.39959,-5.57124,-5.73234,-5.53464,-5.35586,-5.79689,-6.51025,-5.89593,-3.92204,-1.99773,-1.11271,-1.04642,-1.69409,-3.18477,-4.35491,-4.12457,-3.33717,-3.27512,-2.87198,-1.59496,-0.25142,0.76425,1.18547,1.15516,0.74122,-0.32493,-1.57883,-1.88946,-1.16237,-0.40006,-0.7161,-1.5395,-2.0683,-1.86681,-1.0901,-0.1661,0.27242
79.509 -180.0,-175.78708,-171.57415,-167.36123,-163.1483,-158.93538,-154.72245,-150.50953,-146.2966,-142.08368,-137.87075,-133.65783,-129.4449,-125.23198,-121.01905,-116.80613,-112.5932,-108.38028,-104.16735,-99.95443,-95.7415,-91.52858,-87.31565,-83.10273,-78.8898,-74.67688,-70.46395,-66.25103,-62.0381,-57.82518,-53.61225,-49.39933,-45.1864,-40.97348,-36.76055,-32.54763,-28.3347,-24.12178,-19.90885,-15.69593,-11.483,-7.27008,-3.05715,1.15577,5.3687,9.58162,13.79455,18.00747,22.2204,26.43332,30.64625,34.85917,39.0721,43.28502,47.49795,51.71087,55.9238,60.13672,64.34965,68.56257,72.7755,76.98842,81.20135,85.41427,89.6272,93.84012,98.05305,102.26597,106.4789,110.69182,114.90475,119.11767,123.3306,127.54352,131.75645,135.96937,140.1823,144.39522,148.60815,152.82107,157.034,161.24692,165.45985,169.67277,173.8857,178.09862 1.0727,-0.08865,-1.42416,-1.6556,-0.97852,0.50566,2.05553,2.43697,1.58053,0.97135,0.68825,0.52136,0.54025,1.10088,2.22104,3.43155,4.3143,5.25148,6.72588,8.23106,8.9719,9.10061,9.0313,9.04089,9.23824,9.2327,9.2937,9.50243,8.86674,7.81558,7.15391,6.23687,4.18257,2.26525,1.64308,1.74451,0.68322,-1.4622,-3.58222,-4.91538,-5.92061,-7.10088,-8.19348,-8.61598,-8.22186,-7.07586,-6.45118,-6.67966,-7.09136,-6.79877,-5.95815,-5.5377,-6.07031,-6.72625,-6.23713,-4.77522,-3.37283,-2.74464,-2.42334,-2.06482,-2.53457,-4.23773,-5.42851,-5.25537,-4.912,-5.19629,-5.16709,-4.37959,-3.09404,-1.59547,-0.3009,0.29124,0.48842,-0.11702,-1.43605,-2.19645,-1.73822,-0.82427,-0.61297,-0.88204,-1.60568,-1.84126,-1.4194,-0.56222,0.51479,1.22422
84.186 -180.0,-176.02113,-172.04225,-168.06338,-164.08451,-160.10563,-156.12676,-152.14788,-148.16901,-144.19014,-140.21126,-136.23239,-132.25352,-128.27464,-124.29577,-120.3169,-116.33802,-112.35915,-108.38028,-104.4014,-100.42253,-96.44365,-92.46478,-88.48591,-84.50703,-80.52816,-76.54929,-72.57041,-68.59154,-64.61267,-60.63379,-56.65492,-52.67605,-48.69717,-44.7183,-40.73942,-36.76055,-32.78168,-28.8028,-24.82393,-20.84506,-16.86618,-12.88731,-8.90844,-4.92956,-0.95069,3.02818,7.00706,10.98593,14.96481,18.94368,22.92255,26.90143,30.8803,34.85917,38.83805,42.81692,46.79579,50.77467,54.75354,58.73241,62.71129,66.69016,70.66904,74.64791,78.62678,82.60566,86.58453,90.5634,94.54228,98.52115,102.50002,106.4789,110.45777,114.43664,118.41552,122.39439,126.37327,130.35214,134.33101,138.30989,142.28876,146.26763,150.24651,154.22538,158.20425,162.18313,166.162,170.14087,174.11975,178.09862 1.35324,0.50685,-0.50239,-0.8765,-0.57242,0.38369,1.60375,1.90972,0.9477,0.18875,0.29205,0.46384,0.23776,-0.23461,0.01658,1.5273,3.13934,3.96246,4.53944,5.92961,7.59943,8.25068,7.91813,7.89783,8.13431,8.28257,8.29848,8.20475,8.49794,8.57423,7.80307,7.26696,7.39584,7.03828,5.31811,3.63087,2.92286,3.04002,2.57758,1.11733,-0.9229,-2.5276,-3.4304,-4.28373,-5.42087,-6.26418,-6.27526,-5.66988,-5.20982,-5.59627,-6.46737,-6.59854,-5.77004,-4.80649,-4.7549,-5.51866,-5.95713,-5.63572,-5.01616,-4.61779,-4.45888,-3.99452,-3.07249,-2.57663,-3.17663,-4.97797,-6.43294,-6.4162,-6.16264,-6.30293,-6.58714,-6.514,-5.66218,-4.12737,-2.34112,-1.06603,-0.34047,-0.2333,-1.04509,-2.03283,-2.08335,-1.44168,-1.39696,-1.72327,-2.01501,-2.15122,-1.92305,-1.42503,-0.75798,0.3253,1.21887
88.863 -180.0,-176.23054,-172.46108,-168.69162,-164.92216,-161.1527,-157.38324,-153.61379,-149.84433,-146.07487,-142.30541,-138.53595,-134.76649,-130.99703,-127.22757,-123.45811,-119.68865,-115.91919,-112.14973,-108.38028,-104.61082,-100.84136,-97.0719,-93.30244,-89.53298,-85.76352,-81.99406,-78.2246,-74.45514,-70.68568,-66.91622,-63.14677,-59.37731,-55.60785,-51.83839,-48.06893,-44.29947,-40.53001,-36.76055,-32.99109,-29.22163,-25.45217,-21.68271,-17.91326,-14.1438,-10.37434,-6.60488,-2.83542,0.93404,4.7035,8.47296,12.24242,16.01188,19.78134,23.5508,27.32025,31.08971,34.85917,38.62863,42.39809,46.16755,49.93701,53.70647,57.47593,61.24539,65.01485,68.78431,72.55376,76.32322,80.09268,83.86214,87.6316,91.40106,95.17052,98.93998,102.70944,106.4789,110.24836,114.01782,117.78728,121.55673,125.32619,129.09565,132.86511,136.63457,140.40403,144.17349,147.94295,151.71241,155.48187,159.25133,163.02079,166.79024,170.5597,174.32916,178.09862 0.55237,0.11183,-0.41284,-0.53615,-0.38964,0.08367,0.7018,1.02756,0.246,-0.71581,-0.38284,0.65867,0.9497,0.17325,-0.65331,-0.34126,1.32404,2.6746,3.16768,3.49705,4.71395,6.18264,6.39783,5.67341,5.74112,6.51711,7.1993,7.41105,7.20842,7.0754,7.45673,7.07609,6.08589,6.06719,6.80403,6.89442,5.77465,4.40303,3.23128,2.8241,2.812,2.30963,0.80452,-0.88243,-1.78645,-2.18116,-2.87359,-3.82294,-4.14594,-3.68564,-3.03915,-3.19033,-4.04492,-4.75094,-4.429,-3.52462,-3.16847,-3.78963,-4.67155,-4.81315,-4.43933,-4.54365,-5.26789,-5.66267,-5.13133,-3.94215,-3.09842,-3.05541,-3.68649,-5.4763,-7.03463,-7.00553,-6.66159,-6.61815,-6.91789,-7.42021,-7.10074,-5.94849,-4.19626,-2.54649,-1.543,-0.97224,-1.01913,-1.63238,-1.96124,-1.78781,-1.82892,-2.569,-3.16705,-3.33623,-3.14644,-2.58023,-2.0803,-1.60438,-0.59187,0.37996
